algorithm,seed,environment_steps,actor_loss,agent0/mean_episode_returns,agent0/std_episode_returns,agent1/mean_episode_returns,agent1/std_episode_returns,agent2/mean_episode_returns,agent2/std_episode_returns,agent3/mean_episode_returns,agent3/std_episode_returns,entropy,loss,mean_episode_length,mean_episode_returns,mean_episode_time,std_episode_length,std_episode_returns,std_episode_time,updates,value_loss
ia2c,1,3000000,0.1525264233350753,0.0,0.0,0.0,0.0,0.1,0.29999998,0.1,0.29999998,3.997626543045044,14.44017505645752,500.0,0.2,1.9975152294000509,0.0,0.4,0.000225777799733,600,28.57529640197754
ia2c,1,3500000,0.4420278668403625,0.1,0.29999998,0.0,0.0,0.0,0.0,0.0,0.0,4.105897426605225,6.907388687133789,500.0,0.1,2.205532000199673,0.0,0.29999998,0.0005521216583032,700,12.930721282958984
ia2c,1,4000000,0.2148090600967407,0.2,0.4,0.1,0.29999998,0.0,0.0,0.1,0.29999998,4.353895664215088,20.871261596679688,500.0,0.4,2.02535603949982,0.0,0.489898,0.0004684112733769,800,41.31290435791016
ia2c,1,4500000,-0.4038553833961487,0.1,0.29999998,0.1,0.29999998,0.2,0.4,0.3,0.45825756,2.886831998825073,23.229734420776367,500.0,0.7,1.9641167302002944,0.0,1.0049876,0.0002009972808008,900,47.267181396484375
ia2c,1,5000000,0.0809031128883361,0.2,0.4,0.3,0.45825756,0.1,0.29999998,0.4,0.489898,1.8169265985488887,20.40520477294922,500.0,1.0,1.8967775643002824,0.0,0.7745967,0.0001579460879439,1000,40.64860153198242
ia2c,1,5500000,0.610359787940979,0.5,0.67082036,0.3,0.64031243,0.6,0.66332495,0.4,0.489898,2.1330628395080566,24.707164764404297,500.0,1.8,1.8579960477998607,0.0,1.4696939,0.0002186085836908,1100,48.19361114501953
ia2c,1,6000000,-0.155195876955986,0.4,0.489898,0.3,0.45825756,0.6,0.48989797,0.6,0.8,1.4182584285736084,14.920784950256348,500.0,1.9,4.256262151399824,0.0,1.5779734,0.0036529149181073,1200,30.15196228027344
ia2c,1,6500000,0.116000585258007,0.3,0.45825756,0.3,0.45825756,0.4,0.66332495,0.5,0.5,1.431005835533142,9.305038452148438,500.0,1.5,2.0958725469001367,0.0,1.3601471,0.0005209486187014,1300,18.378076553344727
ia2c,1,7000000,-0.3015095889568329,0.6,0.48989794,0.3,0.64031243,0.4,0.489898,0.7,0.45825756,1.191170334815979,13.4742431640625,500.0,2.0,1.82361996860036,0.0,1.264911,0.0002397505549886,1400,27.55150604248047
ia2c,1,7500000,0.3740437030792236,1.0,0.6324555,0.7,0.6403124,0.6,0.66332495,0.8,0.74833155,1.1195347309112549,18.39696502685547,500.0,3.1,2.00240690169976,0.0,2.0223749,0.0001953824100409,1500,36.045841217041016
ia2c,1,8000000,0.1616143137216568,0.6,0.48989794,0.6,0.48989797,0.4,0.48989797,0.3,0.45825756,1.4208990335464478,18.57002067565918,500.0,1.9,1.8677598427000703,0.0,0.9433981,0.0002221830646663,1600,36.81681442260742
ia2c,1,8500000,-0.0927748084068298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.022586703300476,6.566707134246826,500.0,0.0,5.000593329000003,0.0,0.0,0.0045028297749212,1700,13.318964004516602
ia2c,1,9000000,-0.0913458988070488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.760872483253479,11.172649383544922,500.0,0.0,1.8687994837995572,0.0,0.0,0.0002316844993962,1800,22.527990341186523
ia2c,1,9500000,-0.0749195292592048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8165106177330017,5.279567241668701,500.0,0.0,1.8429601329000436,0.0,0.0,0.0002720170276232,1900,10.70897388458252
ia2c,1,10000000,-0.071064718067646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5950407385826111,6.154129981994629,500.0,0.0,2.026715541500016,0.0,0.0,0.0002817601965028,2000,12.450389862060549
ia2c,1,10500000,-0.0313316881656646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5976346731185913,4.56041145324707,500.0,0.0,1.8560490938998555,0.0,0.0,0.0001878452514081,2100,9.183485984802246
ia2c,1,11000000,-0.0084835197776556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.525816798210144,4.239170551300049,500.0,0.0,1.8398617902006664,0.0,0.0,0.0002674150580991,2200,8.495307922363281
ia2c,1,11500000,-0.0453697741031646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5006857514381409,4.214621543884277,500.0,0.0,2.032912715999919,0.0,0.0,0.0005787766685664,2300,8.51998233795166
ia2c,1,12000000,-0.0016853954875841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.297530859708786,3.62222671508789,500.0,0.0,2.19350817690065,0.0,0.0,0.0003813392631414,2400,7.247824192047119
ia2c,1,12500000,-0.0095592010766267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3422863781452179,2.7455968856811523,500.0,0.0,1.8834475320003548,0.0,0.0,0.0001982948143508,2500,5.510312080383301
ia2c,1,13000000,0.0107350051403045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2600416243076324,3.599217176437378,500.0,0.0,1.9198060165999775,0.0,0.0,0.0001933077481796,2600,7.176964282989502
ia2c,1,13500000,-0.0347600318491458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3962928056716919,3.041234016418457,500.0,0.0,1.7877502675997676,0.0,0.0,0.0002932789885821,2700,6.1519880294799805
