environment_steps,actor_loss,agent0/mean_episode_returns,agent0/std_episode_returns,agent1/mean_episode_returns,agent1/std_episode_returns,agent2/mean_episode_returns,agent2/std_episode_returns,entropy,loss,mean_episode_length,mean_episode_returns,mean_episode_time,std_episode_length,std_episode_returns,std_episode_time,updates,value_loss
10000,0.4975219666957855,0.089999996,0.18138357,0.12857142,0.2040408,0.02,0.06,3.4698877334594727,11.722009658813477,50.0,0.23857144,0.2017729941999277,0.0,0.21505101,6.936064459121986e-05,20,22.448974609375
20000,0.2584021985530853,0.095,0.16194135,0.05,0.14999999,0.041666668,0.08539126,3.533489227294922,6.41371488571167,49.4,0.18666668,0.2065456754000024,1.8,0.29057416,0.0077637484575554,40,12.310625076293944
30000,-0.2734277546405792,0.0,0.0,0.09166667,0.16007811,0.025,0.074999996,3.6809473037719727,3.2401235103607178,50.0,0.116666675,0.2078133814999091,0.0,0.1632993,6.919460925683955e-05,60,7.027102470397949
40000,-0.0151751171797513,0.014285715,0.042857148,0.15555556,0.20457725,0.022222223,0.06666667,3.626309633255005,6.780124664306641,50.0,0.1920635,0.2179173008000361,0.0,0.21451487,0.0001058692836032,80,13.59060001373291
50000,0.3022501468658447,0.09833334,0.15392098,0.086666666,0.20231989,0.02,0.06,3.806300640106201,11.643176078796388,50.0,0.205,0.2137429396999323,0.0,0.24450064,9.962160844461968e-05,100,22.68185234069824
60000,0.7638804912567139,0.025,0.074999996,0.12857142,0.30270886,0.12095239,0.19963914,3.872779607772827,14.861457824707031,46.9,0.27452382,0.1949817405999965,9.3,0.31890196,0.0389634520023575,120,28.19515419006348
70000,0.6499592065811157,0.15,0.32015622,0.075,0.16007811,0.1,0.2,3.677531957626343,14.947546005249023,44.5,0.325,0.1959345574999588,11.05667219374799,0.38810438,0.0504594650012677,140,28.59517288208008
80000,-0.5354127287864685,0.041666668,0.08539126,0.02,0.06,0.058333337,0.11814539,3.454761266708374,2.490100622177124,50.0,0.11999999,0.2155329918000461,0.0,0.12644719,0.0001268118855734,160,6.051026821136475
90000,-0.2920114398002624,0.041666668,0.08539126,0.111666664,0.15986973,0.0,0.0,3.2248661518096924,3.8054182529449454,50.0,0.15333334,0.2051530012999137,0.0,0.23259409,8.9934768017962e-05,180,8.194859504699707
100000,0.2564066052436828,0.04,0.12,0.053333335,0.11075499,0.025,0.074999996,3.0251479148864746,3.082143783569336,50.0,0.11833334,0.2150698933000057,0.0,0.15283434,6.941174130690924e-05,200,5.651474475860596
110000,-0.0177821181714534,0.075,0.12047359,0.19083335,0.20508976,0.05,0.14999999,3.697495937347412,10.40610694885254,42.9,0.31583333,0.1816071755000393,14.956269588369954,0.36833802,0.0633538909240077,220,20.8477783203125
120000,-0.0139464242383837,0.12833335,0.17289206,0.05,0.14999999,0.1,0.29999998,3.7121870517730713,9.612651824951172,45.6,0.27833337,0.1930656223000824,13.2,0.30641747,0.0561459284206916,240,19.253196716308597
