entropy_coef,environment_steps,actor_loss,agent0/mean_episode_returns,agent0/std_episode_returns,agent1/mean_episode_returns,agent1/std_episode_returns,agent2/mean_episode_returns,agent2/std_episode_returns,entropy,loss,mean_episode_length,mean_episode_returns,mean_episode_time,std_episode_length,std_episode_returns,std_episode_time,updates,value_loss
0.001,10000,0.4975219666957855,0.089999996,0.18138357,0.12857142,0.2040408,0.02,0.06,3.4698877334594727,11.722009658813477,50.0,0.23857144,0.2133513485001003,0.0,0.21505101,6.503850214862364e-05,20,22.448974609375
0.001,20000,0.2584021985530853,0.095,0.16194135,0.05,0.14999999,0.041666668,0.08539126,3.533489227294922,6.41371488571167,49.4,0.18666668,0.2074255231000734,1.8,0.29057416,0.0076465475294841,40,12.310625076293944
0.001,30000,-0.2734277546405792,0.0,0.0,0.09166667,0.16007811,0.025,0.074999996,3.6809473037719727,3.2401235103607178,50.0,0.116666675,0.2065112288999898,0.0,0.1632993,8.581482313014319e-05,60,7.027102470397949
0.001,40000,-0.0151751171797513,0.014285715,0.042857148,0.15555556,0.20457725,0.022222223,0.06666667,3.626309633255005,6.780124664306641,50.0,0.1920635,0.2573695975999726,0.0,0.21451487,0.0003996532669866,80,13.59060001373291
0.001,50000,0.3022501468658447,0.09833334,0.15392098,0.086666666,0.20231989,0.02,0.06,3.806300640106201,11.643176078796388,50.0,0.205,0.2144564145999538,0.0,0.24450064,6.332800657384874e-05,100,22.68185234069824
0.001,60000,0.7638804912567139,0.025,0.074999996,0.12857142,0.30270886,0.12095239,0.19963914,3.872779607772827,14.861457824707031,46.9,0.27452382,0.2028631622999455,9.3,0.31890196,0.0409221517571469,120,28.19515419006348
0.001,70000,0.6499592065811157,0.15,0.32015622,0.075,0.16007811,0.1,0.2,3.677531957626343,14.947546005249023,44.5,0.325,0.1872451984999315,11.05667219374799,0.38810438,0.0478650267464351,140,28.59517288208008
0.001,80000,-0.5354127287864685,0.041666668,0.08539126,0.02,0.06,0.058333337,0.11814539,3.454761266708374,2.490100622177124,50.0,0.11999999,0.2200604846999795,0.0,0.12644719,6.731046065660911e-05,160,6.051026821136475
0.001,90000,-0.2920114398002624,0.041666668,0.08539126,0.111666664,0.15986973,0.0,0.0,3.2248661518096924,3.8054182529449454,50.0,0.15333334,0.2163983078000456,0.0,0.23259409,8.088668617366929e-05,180,8.194859504699707
0.001,100000,0.2564066052436828,0.04,0.12,0.053333335,0.11075499,0.025,0.074999996,3.0251479148864746,3.082143783569336,50.0,0.11833334,0.2068641548999039,0.0,0.15283434,4.54201991124279e-05,200,5.651474475860596
0.001,110000,-0.0177821181714534,0.075,0.12047359,0.19083335,0.20508976,0.05,0.14999999,3.697495937347412,10.40610694885254,42.9,0.31583333,0.1891957872000603,14.956269588369954,0.36833802,0.0668865091030494,220,20.8477783203125
0.001,120000,-0.0139464242383837,0.12833335,0.17289206,0.05,0.14999999,0.1,0.29999998,3.7121870517730713,9.612651824951172,45.6,0.27833337,0.1885603731000174,13.2,0.30641747,0.0545187242900047,240,19.253196716308597
0.001,130000,-0.7165937423706055,0.083333336,0.12909946,0.033333335,0.1,0.0,0.0,4.0183868408203125,0.6503745317459106,50.0,0.116666675,0.2095859626000219,0.0,0.14529663,2.893143754709041e-05,260,2.733936548233032
0.001,140000,-0.8843542337417603,0.058333337,0.11814539,0.0,0.0,0.02,0.06,3.540123462677002,0.7602150440216064,50.0,0.07833333,0.2290996292000272,0.0,0.123389624,8.301141020438269e-05,280,3.2891385555267334
0.001,150000,-0.5156589150428772,0.083333336,0.12909944,0.041666668,0.08539126,0.025,0.074999996,3.039595365524292,2.2070119380950928,50.0,0.15,0.2231993899000372,0.0,0.16583124,3.8163678477270406e-05,300,5.44534158706665
0.001,160000,0.0167835336178541,0.15833333,0.30379543,0.033333335,0.1,0.120000005,0.21249837,3.378539562225342,9.295334815979004,43.4,0.31166667,0.1847088402000281,13.566134305689296,0.36788058,0.0585676225075145,320,18.55710220336914
0.001,170000,0.6268172860145569,0.05,0.14999999,0.116666675,0.2362908,0.23333335,0.3265986,3.747696876525879,14.066448211669922,39.0,0.4,0.166861772600032,14.696938456699067,0.489898,0.0637624622190325,340,26.879261016845703
0.001,180000,0.2909923791885376,0.18857142,0.20640756,0.06857143,0.13950351,0.089999996,0.18138357,3.670116186141968,10.967138290405272,47.5,0.34714285,0.194851618300072,5.239274758971894,0.36988968,0.0216051342227098,360,21.35229110717773
0.001,190000,0.3398206532001495,0.120000005,0.2993326,0.02,0.06,0.044999998,0.09069178,3.3205604553222656,5.595253944396973,49.8,0.18500002,0.2215358782999828,0.6,0.28987068,0.0030329552730889,380,10.510866165161133
0.001,200000,-0.0918022617697715,0.1,0.21343747,0.05,0.106718734,0.075,0.16007811,3.614805459976196,6.884705066680908,48.6,0.225,0.1995511993000491,4.2,0.3074311,0.0172311654734165,400,13.953014373779297
0.001,210000,0.8708921670913696,0.111666664,0.15986973,0.15,0.16996732,0.14833334,0.19067861,3.7964115142822266,10.229394912719728,47.3,0.41000003,0.1977688885000589,6.356886030125128,0.34538224,0.0273858013158726,420,18.717004776000977
